split,video,path
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000026.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000090.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000012.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000021.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000108.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000069.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000035.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000106.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000104.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000097.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000010.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000015.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000060.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000063.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000008.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000007.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000105.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000007.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000080.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000075.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000047.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000074.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000087.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000027.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000095.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000046.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000056.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000013.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000075.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000025.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000067.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000073.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000101.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000098.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000075.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000074.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000070.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000008.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000050.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000023.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000059.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000031.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000066.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000090.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000043.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000032.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000066.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000006.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000008.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000101.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000010.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000016.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000100.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000039.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000030.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000016.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000033.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000059.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000026.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000006.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000037.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000032.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000088.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000100.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000067.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000080.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000066.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000013.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000086.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000046.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000040.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000092.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000026.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000089.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000040.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000097.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000019.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000044.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000100.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000078.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000052.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000032.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000034.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000024.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000071.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000014.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000061.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000085.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000047.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000033.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000018.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000017.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000022.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000021.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000011.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000009.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000062.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000079.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000081.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000054.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000005.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000097.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000083.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000049.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000062.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000031.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000022.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000096.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000073.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000051.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000035.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000077.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000028.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000022.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000046.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000021.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000045.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000001.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000043.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000071.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000086.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000076.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000074.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000088.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000041.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000088.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000030.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000003.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000034.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000065.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000061.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000084.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000014.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000020.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000053.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000001.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000045.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000001.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000031.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000048.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000053.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000040.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000029.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000099.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000051.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000019.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000023.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000092.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000015.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000093.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000079.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000085.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000002.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000042.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000084.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000093.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000030.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000036.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000083.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000058.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000052.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000068.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000037.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000010.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000057.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000081.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000020.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000060.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000104.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000012.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000063.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000038.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000055.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000089.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000034.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000103.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000081.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000099.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000009.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000103.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000059.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000015.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000091.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000089.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000004.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000084.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000068.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000057.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000044.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000062.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000056.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000070.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000098.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000011.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000039.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000063.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000079.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000029.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000044.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000042.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000048.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000019.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000058.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000072.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000028.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000072.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000069.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000064.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000054.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000091.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000095.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000042.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000094.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000002.jpg
val,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000055.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000050.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000071.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000065.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000052.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000085.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000056.jpg
val,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000041.jpg
val,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000009.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000024.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000036.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000099.jpg
val,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000078.jpg
val,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000043.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000041.jpg
val,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000086.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000064.jpg
val,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000024.jpg
val,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000023.jpg
